CO_CODE	DIST_CODE	SCH_CODE	TOTAL
17	2390	370	19.0
17	2410	050	19.7
17	2410	070	18.6
17	2410	080	17.8
17	2410	090	17.2
17	2410	100	15.8
17	2410	110	18.0
17	2410	120	17.9
17	3610	050	24.4
17	3610	060	26.4
17	3610	070	26.1
17	3610	080	21.2
17	3610	090	23.6
17	3610	100	19.1
17	3610	110	24.2
17	4730	050	21.9
17	4730	065	20.7
17	4730	070	22.3
17	4730	080	19.6
17	5240	054	20.0
17	5240	055	27.9
17	5240	070	18.1
17	5240	080	18.3
17	5240	090	20.6
17	5240	100	15.2
17	5240	105	20.1
17	5240	110	20.0
17	5240	118	18.7
17	5240	120	19.4
17	5240	130	20.3
17	5240	140	18.2
17	5240	145	18.1
17	5240	150	17.5
17	5580	050	13.7
17	5580	070	18.5
17	5580	080	19.2
17	5670	050	18.9
17	5670	055	15.3
17	5670	060	18.6
17	5670	065	18.2
17	5670	070	17.8
17	5670	080	21.9
17	5670	090	21.5
17	5670	100	19.1
17	5670	110	18.7
19	0020	005	17.5
19	0020	010	14.7
19	0370	020	18.6
19	0370	070	23.8
19	0430	020	13.7
19	0670	030	13.8
19	0910	030	20.2
19	0920	030	14.8
19	0920	035	20.1
19	0920	040	24.2
19	0920	050	23.0
19	1040	040	16.4
19	1050	040	20.3
19	1160	050	17.9
19	1510	030	17.8
19	1510	033	18.4
19	1510	035	16.4
19	1510	040	20.5
19	1510	045	23.1
19	1510	050	18.7
19	1600	050	17.9
19	1680	050	15.5
19	1970	050	13.0
19	2140	055	18.4
19	2140	060	16.1
19	2220	060	17.2
19	2300	050	21.0
19	2530	050	18.2
19	2590	050	10.4
19	2600	050	18.5
19	2600	060	19.5
19	3180	050	9.9
19	3660	050	21.8
19	3660	060	20.2
19	4350	030	24.9
19	4350	050	25.4
19	4350	060	18.2
19	4350	070	17.5
19	4890	050	17.0
19	5050	050	5.1
19	5180	030	16.9
19	5180	055	18.7
19	5270	050	18.6
19	5270	060	16.9
19	5600	050	16.3
21	1245	050	19.5
21	1245	055	21.8
21	1245	060	21.6
21	1245	070	19.8
21	1245	075	23.2
21	1245	080	21.4
21	1430	050	16.4
21	1430	060	15.5
21	1430	105	19.4
21	1430	130	18.7
21	1430	140	18.4
21	1950	050	22.6
21	1950	055	18.8
21	1950	060	18.9
21	1950	070	18.0
21	1950	080	15.7
21	1950	083	16.4
