CO_CODE	DIST_CODE	SCH_CODE	TOTDRP
37	5360	888	1.6
37	5435	060	0.0
37	5435	888	1.7
39	0310	005	0.0
39	0310	888	0.3
39	0850	005	0.0
39	0980	030	0.0
39	0980	888	0.1
39	1320	025	0.0
39	1320	401	0.0
39	1320	402	0.0
39	1320	403	0.0
39	1320	404	0.0
39	1320	405	0.0
39	1320	888	4.4
39	2190	050	0.0
39	2190	888	0.8
39	2420	010	0.0
39	2420	888	1.5
39	2660	050	0.0
39	2660	888	2.7
39	3560	050	0.0
39	4160	050	0.0
39	4160	051	0.0
39	4160	052	0.0
39	4160	888	2.5
39	4290	050	0.0
39	4290	888	1.8
39	4540	010	0.0
39	4540	888	2.4
39	4550	050	0.0
39	4550	888	0.3
39	4670	050	0.0
39	5000	010	0.0
39	5000	888	1.1
39	5090	050	0.0
39	5090	888	0.5
39	5290	050	0.0
39	5290	888	0.7
39	5730	050	0.0
39	5730	888	0.2
41	0280	020	0.0
41	0280	888	1.5
41	1870	050	0.0
41	1870	888	0.2
41	3675	050	0.0
41	3675	888	0.7
41	4100	050	0.0
41	4100	888	2.3
41	5465	050	0.0
41	5465	888	0.6
80	6010	888	2.2
80	6010	910	0.0
80	6018	900	0.0
80	6033	902	0.0
80	6038	923	0.0
80	6212	903	0.0
80	6425	888	1.0
80	6425	920	0.5
80	6720	930	0.0
80	7109	931	0.0
80	7320	960	0.0
80	7325	965	0.0
80	7410	888	0.7
80	7410	940	0.0
80	7503	970	0.0
80	8010	980	0.0
80	8060	888	1.2
80	8060	990	0.0
99	9999	999	1.4
			
